,Radio,Newspaper,Sales,TV
100,4.3,49.8,16.7,222.4
101,36.3,100.9,23.8,296.4
102,10.1,21.4,19.8,280.2
103,17.2,17.9,19.7,187.9
104,34.3,5.3,20.7,238.2
105,46.4,59.0,15.0,137.9
106,11.0,29.7,7.2,25.0
107,0.3,23.2,12.0,90.4
108,0.4,25.6,5.3,13.1
109,26.9,5.5,19.8,255.4
110,8.2,56.5,18.4,225.8
111,38.0,23.2,21.8,241.7
112,15.4,2.4,17.1,175.7
113,20.6,10.7,20.9,209.6
114,46.8,34.5,14.6,78.2
115,35.0,52.7,12.6,75.1
116,14.3,25.6,12.2,139.2
117,0.8,14.8,9.4,76.4
118,36.9,79.2,15.9,125.7
119,16.0,22.3,6.6,19.4
120,26.8,46.2,15.5,141.3
121,21.7,50.4,7.0,18.8
122,2.4,15.6,16.6,224.0
123,34.6,12.4,15.2,123.1
124,32.3,74.2,19.7,229.5
125,11.8,25.9,10.6,87.2
126,38.9,50.6,6.6,7.8
127,0.0,9.2,11.9,80.2
128,49.0,3.2,24.7,220.3
129,12.0,43.1,9.7,59.6
130,39.6,8.7,1.6,0.7
131,2.9,43.0,17.7,265.2
132,27.2,2.1,5.7,8.4
133,33.5,45.1,19.6,219.8
134,38.6,65.6,10.8,36.9
135,47.0,8.5,11.6,48.3
136,39.0,9.3,9.5,25.6
137,28.9,59.7,20.8,273.7
138,25.9,20.5,9.6,43.0
139,43.9,1.7,20.7,184.9
140,17.0,12.9,10.9,73.4
141,35.4,75.6,19.2,193.7
142,33.2,37.9,20.1,220.5
143,5.7,34.4,10.4,104.6
144,14.8,38.9,12.3,96.2
145,1.9,9.0,10.3,140.3
146,7.3,8.7,18.2,240.1
147,49.0,44.3,25.4,243.2
148,40.3,11.9,10.9,38.0
149,25.8,20.6,10.1,44.7
150,13.9,37.0,16.1,280.7
151,8.4,48.7,11.6,121.0
152,23.3,14.2,16.6,197.6
153,39.7,37.7,16.0,171.3
154,21.1,9.5,20.6,187.8
155,11.6,5.7,3.2,4.1
156,43.5,50.5,15.3,93.9
157,1.3,24.3,10.1,149.8
158,36.9,45.2,7.3,11.7
159,18.4,34.6,12.9,131.7
160,18.1,30.7,16.4,172.5
161,35.8,49.3,13.3,85.7
162,18.1,25.6,19.9,188.4
163,36.8,7.4,18.0,163.5
164,14.7,5.4,11.9,117.2
165,3.4,84.8,16.9,234.5
166,37.6,21.6,8.0,17.9
167,5.2,19.4,17.2,206.8
168,23.6,57.6,17.1,215.4
169,10.6,6.4,20.0,284.3
170,11.6,18.4,8.4,50.0
171,20.9,47.4,17.5,164.5
172,20.1,17.0,7.6,19.6
173,7.1,12.8,16.7,168.4
174,3.4,13.1,16.5,222.4
175,48.9,41.8,27.0,276.9
176,30.2,20.3,20.2,248.4
177,7.8,35.2,16.7,170.2
178,2.3,23.7,16.8,276.7
179,10.0,17.6,17.6,165.6
180,2.6,8.3,15.5,156.6
181,5.4,27.4,17.2,218.5
182,5.7,29.7,8.7,56.2
183,43.0,71.8,26.2,287.6
184,21.3,30.0,17.6,253.8
185,45.1,19.6,22.6,205.0
186,2.1,26.6,10.3,139.5
187,28.7,18.2,17.3,191.1
188,13.9,3.7,20.9,286.0
189,12.1,23.4,6.7,18.7
190,41.1,5.8,10.8,39.5
191,10.8,6.0,11.9,75.5
192,4.1,31.6,5.9,17.2
193,42.0,3.6,19.6,166.8
194,35.6,6.0,17.3,149.7
195,3.7,13.8,7.6,38.2
196,4.9,8.1,14.0,94.2
197,9.3,6.4,14.8,177.0
198,42.0,66.2,25.5,283.6
199,8.6,8.7,18.4,232.1
